product_id,position_msk,position_spb,position_nvsb,position_hab,position_ekb,position_kaz,position_kras,delivery_efficiency_wh_avg_pos,brand_id,proceeds,orders,price,discount,product_rating,seller_rating,reviews_count,quantity
321555743,803.0,1233.0,1609.0,655.0,904.0,666.0,707.0,598.0,312112270,6249720,6651,956.77,70.8,4.8,4.8,933420.0,10708
96318847,288.0,334.0,284.0,295.0,313.0,295.0,297.0,538.0,8165119,8069644,6354,1280.77,77.87,4.8,4.77,17890017.0,6277
159089242,294.0,353.0,286.0,296.0,288.0,299.0,301.0,503.0,311580832,7607974,6278,1219.0,23.37,4.8,4.88,113163499.0,10738
262714775,274.0,299.0,339.0,284.0,294.0,284.0,284.0,588.0,463696,26388571,20902,1263.33,32.93,4.8,4.773333333333333,35177801.0,14444
32395071,271.0,288.0,319.0,281.0,294.0,282.0,282.0,506.0,286253,15742625,11885,1337.1,35.23,4.8,4.82,8917101.0,18474
215737385,278.0,309.0,467.0,284.0,344.0,300.0,287.0,599.0,722516,6149654,5847,1051.07,72.97,4.9,4.89,566832.0,9742
30143139,274.0,283.0,310.0,284.0,282.0,284.0,284.0,173.0,2697,7063073,11291,637.5,51.87,4.8,4.616666666666667,464431465.0,7647
210586552,335.0,462.0,613.0,326.0,385.0,327.0,331.0,506.0,311194732,2069761,3241,645.0,65.43,4.8,4.78,613757.0,4374
262618662,386.0,578.0,751.0,347.0,459.0,357.0,467.0,613.0,8165119,21911070,22411,986.5,83.7,4.8,4.77,17890017.0,10451
276781794,28890.0,40895.0,4196.0,24631.0,31490.0,21548.0,17479.0,120.0,310516163,9901965,5292,1873.8,37.57,4.6,4.74,36625036.0,2593
314566494,290.0,290.0,599.0,295.0,439.0,335.0,298.0,618.0,452654,3390821,3277,1042.37,3.7,4.8,4.7,18415312.0,3074
273484488,329.0,444.0,291.0,321.0,369.0,324.0,327.0,557.0,310970556,9415511,8455,1103.23,44.37,4.8,4.776666666666666,12967446.0,13986
101717864,272.0,299.0,415.0,,321.0,298.0,283.0,192.0,359670,5485727,8755,632.8,46.73,4.8,4.87,5432431.0,3687
90186395,1862.0,1031.0,519.0,1811.0,2029.0,1373.0,1504.0,537.0,1064978,4058641,2041,1957.7,37.4,4.9,4.783333333333333,13190474.0,754
224581794,603.0,467.0,2248.0,535.0,1629.0,1363.0,548.0,688.0,312109131,1771254,1360,1322.8,55.07,4.6,4.64,8957556.0,763
224295774,282.0,288.0,351.0,,286.0,290.0,291.0,408.0,312184477,10500748,8437,1247.0,62.53,4.8,4.83,1465202.0,11320
393594116,1617.0,920.0,486.0,,605.0,1227.0,1328.0,88.0,0,9674799,12836,764.07,48.5,4.8,,,41125
70414863,303.0,300.0,514.0,,341.0,301.0,308.0,294.0,2697,2532988,3275,787.47,74.8,4.7,4.616666666666667,464431465.0,1264
336181959,271.0,290.0,323.0,281.0,287.0,282.0,282.0,126.0,2697,2207372,2684,822.07,58.87,4.6,4.616666666666667,464431465.0,1010
146215330,459.0,386.0,1076.0,467.0,578.0,413.0,433.0,493.0,310511687,2787345,2111,1325.77,49.57,4.9,4.74,1181446.0,1130
444036853,384.0,589.0,1313.0,352.0,853.0,553.0,367.0,188.0,312170393,745734,620,1195.17,76.06,5.0,4.96,523990.0,1516
342129252,301.0,299.0,488.0,301.0,333.0,300.0,306.0,563.0,2697,2592924,2322,1135.0,59.23,4.8,4.616666666666667,464431465.0,745
64000093,274.0,283.0,310.0,284.0,282.0,284.0,284.0,386.0,76251,575683,613,949.67,28.97,4.8,4.78,8311699.0,1475
137546097,394.0,646.0,1584.0,394.0,985.0,611.0,380.0,282.0,312113560,2484378,1518,1645.83,53.53,4.8,4.74,181559.0,1764
161948070,3427.0,1765.0,3811.0,,1070.0,2421.0,2679.0,571.0,133360,2598744,1227,2143.1,27.6,4.8,4.675,15918452.0,2665
328087710,620.0,473.0,345.0,,361.0,533.0,563.0,617.0,80598,1782228,1604,1122.77,64.27,4.5,4.716666666666667,3684782.0,7282
182247536,295.0,355.0,411.0,298.0,288.0,348.0,301.0,266.0,312103231,394970,299,1378.37,59.97,4.8,4.83,14378.0,1051
155699509,378.0,589.0,1384.0,369.0,870.0,550.0,363.0,486.0,310737698,16211178,11691,1391.47,66.27,4.8,4.79,12214705.0,5022
204231901,356.0,539.0,617.0,336.0,435.0,342.0,425.0,318.0,89363,11107865,14599,772.97,50.87,4.8,4.82,333048229.0,8248
292662245,377.0,578.0,924.0,,586.0,373.0,363.0,46.0,1164220,2159172,3387,649.63,62.0,4.8,4.722,52788458.0,12274
160006057,347.0,517.0,669.0,331.0,416.0,335.0,340.0,410.0,254420,4421266,4166,1093.7,61.57,4.8,4.77,70194420.0,4822
7634889,1592.0,914.0,3083.0,1808.0,1850.0,1216.0,1312.0,118.0,29179,3925170,2103,1843.23,26.03,4.8,4.835,14891183.0,5706
271178457,21759.0,11259.0,,,21932.0,15652.0,13597.0,875.0,75680,1078584,587,1857.6,50.9,4.8,4.86,28147906.0,1117
154966226,626.0,1003.0,1181.0,578.0,745.0,537.0,570.0,502.0,609564,2015365,1117,1805.2,39.1,4.9,4.75,2656059.0,1963
282807586,328.0,440.0,843.0,314.0,581.0,398.0,326.0,104.0,311440331,2188840,2628,830.1,2.73,4.7,4.66,3847380.0,2130
242268327,275.0,284.0,440.0,284.0,336.0,298.0,285.0,91.0,311555914,5110823,5879,880.47,74.37,4.7,4.76,1054729.0,6612
220487162,824.0,1373.0,1872.0,896.0,993.0,683.0,730.0,468.0,135506403,766008,544,1409.4,27.93,4.8,4.73,3054113.0,1578
211905925,386.0,340.0,304.0,371.0,304.0,360.0,372.0,223.0,311500053,3085164,3260,941.53,52.47,4.7,4.74,15195510.0,4402
238558737,386.0,600.0,304.0,365.0,471.0,360.0,372.0,181.0,311440331,1166249,1492,776.7,10.0,4.5,4.66,3847380.0,1590
242710131,271.0,288.0,298.0,281.0,282.0,282.0,282.0,604.0,311466861,2592674,2367,1102.03,59.97,4.9,4.79,712459.0,7092
338708097,3436.0,4930.0,8672.0,2822.0,8263.0,5360.0,2670.0,882.0,80598,1848767,1530,1211.53,61.6,4.7,4.716666666666667,3684782.0,3847
360505032,407.0,663.0,310.0,389.0,507.0,379.0,391.0,333.0,311440331,544231,652,828.47,2.3,4.8,4.66,3847380.0,1498
235861345,1028.0,1692.0,1824.0,1052.0,1183.0,822.0,903.0,447.0,133258,490580,792,639.2,79.47,4.7,4.8,100855229.0,1673
349703029,1027.0,1618.0,3334.0,925.0,2667.0,1666.0,898.0,804.0,312141147,189379,146,1375.7,59.53,5.0,5.0,2164.0,50
152127702,290.0,290.0,604.0,296.0,443.0,335.0,298.0,268.0,87110,907750,677,1350.8,16.53,4.9,4.82,1258959.0,1186
377779158,762.0,539.0,369.0,699.0,401.0,628.0,677.0,136.0,9777,355044,399,901.7,14.73,4.8,4.641666666666667,175237682.0,2556
330911924,1669.0,940.0,2788.0,1386.0,1769.0,1260.0,1368.0,414.0,312130204,28929,23,1306.47,55.97,5.0,4.54,576.0,114
365183324,1014.0,657.0,2766.0,749.0,2381.0,1582.0,889.0,281.0,311440331,1843588,1616,1148.33,2.27,4.8,4.66,3847380.0,953
335765214,529.0,432.0,978.0,484.0,635.0,468.0,496.0,452.0,310970556,2838845,2717,1051.83,46.93,4.8,4.776666666666666,12967446.0,10980
15096631,276.0,285.0,332.0,286.0,284.0,285.0,286.0,293.0,43958,13440971,21860,630.33,37.67,4.8,4.845,396715496.0,57466
411734891,559.0,443.0,1286.0,,682.0,487.0,516.0,148.0,310815828,1400865,2245,681.9,89.27,4.9,4.745,91748.0,7314
377492609,1366.0,2325.0,2039.0,1604.0,548.0,2322.0,1160.0,315.0,311409788,2547815,4557,577.2,58.9,4.7,4.85,15664780.0,2552
404130338,419.0,359.0,313.0,390.0,519.0,386.0,403.0,580.0,311475835,1071445,1057,1039.7,63.77,4.8,4.836666666666667,1351173.0,6429
95046531,657.0,,,,,,,726.0,312161379,285809,322,911.83,63.0,4.9,4.73,3805166.0,2646
